ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_2876	0.00	0.00	0.00	0.67	0.00
ASV_2879	0.00	0.00	0.00	0.00	0.00
ASV_2883	8.67	7.17	0.00	0.00	0.00
ASV_2889	0.00	0.00	0.00	0.00	1.00
ASV_2916	0.00	0.00	0.00	0.17	0.00
ASV_2920	0.00	0.17	0.00	0.00	0.00
ASV_2927	0.00	0.00	0.00	0.00	0.00
ASV_2943	0.00	0.00	0.17	0.00	0.00
ASV_2948	0.00	0.00	0.17	0.00	0.00
ASV_2959	0.17	0.00	0.00	0.00	0.00
ASV_2961	2.17	1.67	0.00	0.00	0.00
ASV_2967	0.00	0.00	0.00	0.83	3.00
ASV_2969	0.00	0.17	0.00	0.00	0.00
ASV_2980	0.00	0.00	0.00	0.17	0.00
ASV_2995	0.00	0.67	0.00	0.00	0.00
ASV_3000	0.00	0.00	0.00	0.17	0.00
ASV_3001	0.00	0.00	0.17	0.00	0.00
ASV_3003	0.00	0.00	0.00	5.17	3.00
ASV_3013	0.00	0.00	0.00	0.17	0.00
ASV_3014	2.67	0.00	8.50	0.00	0.00
ASV_3017	0.00	0.00	0.00	0.17	0.00
ASV_3021	0.00	0.00	0.00	0.83	0.00
ASV_3030	0.17	0.17	0.17	0.00	0.00
ASV_3045	0.00	0.00	0.00	0.50	0.00
ASV_3046	0.33	0.00	0.33	0.00	0.00
ASV_3055	0.00	0.00	0.00	1.17	0.00
ASV_3064	14.83	0.67	102.17	33.67	3.00
ASV_3078	0.00	0.00	0.00	0.00	0.00
ASV_3088	0.00	0.17	0.00	0.00	0.00
ASV_3105	0.00	0.17	0.17	0.00	0.00
ASV_3110	0.50	0.00	0.00	0.00	0.00
ASV_3112	0.00	0.33	0.00	0.00	0.00
ASV_3121	0.00	0.00	0.00	0.17	0.00
ASV_3134	0.00	0.50	0.00	0.00	0.00
ASV_3138	0.00	0.00	0.00	0.50	0.00
ASV_3141	0.33	1.67	0.00	0.00	0.00
ASV_3150	0.00	0.00	0.00	0.00	0.00
ASV_3156	0.67	0.00	1.83	0.00	0.00
ASV_3162	0.00	0.00	0.17	0.00	0.00
ASV_3164	0.00	0.17	0.00	0.00	0.00
ASV_3171	0.00	0.00	0.00	0.00	0.00
ASV_3173	0.00	0.17	0.00	0.00	0.00
ASV_3176	0.00	0.00	0.00	0.17	0.00
ASV_3205	0.00	0.00	0.00	0.33	0.00
ASV_3209	5.67	2.17	15.00	0.00	0.00
ASV_3231	0.00	0.17	0.00	0.00	0.00
ASV_3238	0.33	0.50	0.00	0.00	0.00
ASV_3241	0.00	0.00	0.00	0.33	0.00
ASV_3253	0.00	0.00	0.00	188.17	3.00
ASV_3254	0.00	0.00	0.00	8.33	0.00
ASV_3272	0.00	0.00	0.00	0.00	1.00
ASV_3281	0.00	0.00	0.00	0.00	0.00
ASV_3286	0.00	0.00	0.00	0.00	0.00
ASV_3297	2.00	9.67	0.00	0.00	0.00
ASV_3298	0.00	0.50	0.00	0.00	0.00
ASV_3306	0.00	0.00	8.67	39.67	3.00
ASV_3326	0.00	0.00	0.67	0.00	0.00
ASV_3330	0.00	0.33	0.00	0.00	0.00
ASV_3331	0.00	0.00	0.00	0.33	0.00
ASV_3346	3.67	0.00	0.00	0.00	0.00
ASV_3347	0.50	0.00	0.00	0.00	0.00
ASV_3349	0.00	0.00	0.00	0.00	0.00
ASV_3353	2.00	3.67	0.00	0.00	0.00
ASV_3354	0.00	0.00	0.33	0.00	0.00
ASV_3374	0.00	0.17	0.00	0.00	0.00
ASV_3404	1.00	0.00	0.00	0.00	0.00
ASV_3406	0.17	0.00	0.00	0.00	0.00
ASV_3414	0.17	0.17	0.00	0.00	0.00
ASV_3415	0.00	0.33	0.00	0.00	0.00
ASV_3417	9.17	74.17	0.00	0.00	0.00
ASV_3437	0.50	0.00	2.00	7.50	1.00
ASV_3438	1.83	0.00	7.00	4.00	1.00
ASV_3445	3.83	1.50	0.00	0.00	0.00
ASV_3459	0.00	0.00	0.00	0.50	0.00
ASV_3463	0.50	0.83	0.00	0.00	0.00
ASV_3467	0.00	0.00	0.00	0.00	0.00
ASV_3474	0.00	0.00	0.17	0.00	0.00
ASV_3478	0.00	0.00	0.00	0.33	0.00
ASV_3482	0.00	0.00	0.00	0.00	0.00
ASV_3493	0.00	0.00	0.83	0.00	0.00
ASV_3498	0.00	0.17	0.00	0.00	0.00
ASV_3499	0.00	0.00	0.17	0.00	0.00
ASV_3515	0.00	0.00	0.00	0.33	0.00
ASV_3517	2.83	0.00	0.00	0.00	0.00
ASV_3518	0.00	0.83	0.00	0.00	0.00
ASV_3523	0.00	0.00	0.33	0.17	0.00
ASV_3527	0.17	0.00	0.00	0.00	0.00
ASV_3547	0.00	0.00	0.00	0.00	0.00
ASV_3552	0.33	0.50	0.00	0.00	0.00
ASV_3564	0.00	0.33	0.00	0.00	0.00
ASV_3566	0.00	1.00	0.00	0.00	0.00
ASV_3597	0.00	0.00	0.00	0.00	1.00
ASV_3625	0.00	0.17	0.00	0.00	0.00
ASV_3637	0.00	0.00	0.00	0.17	0.00
ASV_3641	0.17	0.17	0.00	0.00	0.00
ASV_3652	0.00	0.00	0.00	0.17	0.00
ASV_3653	0.17	0.00	0.00	0.00	0.00
ASV_3660	0.00	0.83	3.83	0.00	0.00
ASV_3665	0.33	0.00	0.00	0.00	0.00
ASV_3672	0.00	0.00	0.00	0.17	0.00
ASV_3675	0.00	0.00	0.00	0.00	0.00
ASV_3680	0.00	0.00	0.00	0.50	0.00
ASV_3708	0.17	0.17	0.00	0.00	0.00
ASV_3729	0.00	0.33	0.00	0.00	0.00
ASV_3733	0.00	0.00	0.00	0.50	0.00
ASV_3735	0.00	0.00	0.00	0.00	1.00
ASV_3740	0.17	0.00	0.00	0.00	0.00
ASV_3741	0.00	0.00	0.33	0.00	0.00
ASV_3742	0.17	0.50	0.00	0.00	0.00
ASV_3744	0.33	0.33	0.00	0.00	0.00
ASV_3753	0.00	0.00	0.00	0.00	1.00
